NCM;Categoria;Descri????o;IPI;In??cio da Vig??ncia;Fim da Vig??ncia;uTrib;Descri????o da uTrib;GTIN Produ????o;GTIN Homologa????o;Observa????o
1061900;ANIMAIS VIVOS;01061900 - OUTROS MAM??FEROS VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1062000;ANIMAIS VIVOS;01062000 - R??PTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1063100;ANIMAIS VIVOS;01063100 - AVES DE RAPINA VIVAS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1063200;ANIMAIS VIVOS;01063200 - PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1063310;ANIMAIS VIVOS;01063310 - AVESTRUZES (STRUTHIO CAMELUS) PARA REPRODU????O;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1063390;ANIMAIS VIVOS;01063390 - OUTROS AVESTRUZES VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1063900;ANIMAIS VIVOS;01063900 - OUTRAS AVES VIVAS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1064100;ANIMAIS VIVOS;01064100 - ABELHAS VIVAS;NT;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;Corre????o divulgada em 13/07/2017
1064900;ANIMAIS VIVOS;01064900 - OUTROS INSETOS VIVOS;NT;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;Corre????o divulgada em 13/07/2017
1069000;ANIMAIS VIVOS;01069000 - OUTROS ANIMAIS VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
2011000;CARNES E MIUDEZAS, COMEST??VEIS;02011000 - CARCA??AS E MEIAS-CARCS. DE BOV., FRESC.REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2012010;CARNES E MIUDEZAS, COMEST??VEIS;02012010 - QUARTOS DIANT. BOV. ?? DESOSS. FRESC.OU REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2012020;CARNES E MIUDEZAS, COMEST??VEIS;02012020 - QUARTOS TRAZ.BOV.?? DESOSS.FRESC.OU REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2012090;CARNES E MIUDEZAS, COMEST??VEIS;02012090 - OUTS CARNES BOV.?? DESOSS.FRESC OU REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2013000;CARNES E MIUDEZAS, COMEST??VEIS;02013000 - OUTS CARNES BOV. DESOSS.FRESC OU REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2021000;CARNES E MIUDEZAS, COMEST??VEIS;02021000 - CARCA??AS E MEIAS-CARCA??AS DE BOVINOS,CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2022010;CARNES E MIUDEZAS, COMEST??VEIS;02022010 - QUART.DIANTEIRO DE BOVINO N??O DESOSS., CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2022020;CARNES E MIUDEZAS, COMEST??VEIS;02022020 - QUART.TRASEIRO DE BOVINO N??O DESOSS., CONG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2022090;CARNES E MIUDEZAS, COMEST??VEIS;02022090 - OUTRAS CARNES BOV. N??O DESOSS.,CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2023000;CARNES E MIUDEZAS, COMEST??VEIS;02023000 - CARNES DE BOVINO DESOSSADAS, CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2031100;CARNES E MIUDEZAS, COMEST??VEIS;02031100 - CARCS E MEIAS-CARCS. DE SU??NOS, FRESC., REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2031200;CARNES E MIUDEZAS, COMEST??VEIS;02031200 - PERNA E PEDA??O ?? DESOS. SU??NOS, FRESC.,REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2031900;CARNES E MIUDEZAS, COMEST??VEIS;02031900 - OUTRAS CARNES DE SU??NOS, FRESCAS OU REFRIG.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2032100;CARNES E MIUDEZAS, COMEST??VEIS;02032100 - CARCS. E MEIAS-CARCS. DE SU??NOS, CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2032200;CARNES E MIUDEZAS, COMEST??VEIS;02032200 - PERNA E PEDA??O ?? DESOS. SU??NOS, CONGELADOS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2032900;CARNES E MIUDEZAS, COMEST??VEIS;02032900 - OUTRAS CARNES DE SU??NO,CONGELADAS;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
2041000;CARNES E MIUDEZAS, COMEST??VEIS;02041000 - CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.;0;01/01/2016;;KG;QUILOGRAMA;11/03/2019;01/10/2018;
