NCM;Categoria;Descri????o;IPI;In??cio da Vig??ncia;Fim da Vig??ncia;uTrib;Descri????o da uTrib;GTIN Produ????o;GTIN Homologa????o;Observa????o
28062000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28062000 - ??CIDO CLOROSSULF??RICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28070010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28070010 - ??CIDO SULF??RICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28070020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28070020 - #OLEUM# (??CIDO SULF??RICO FUMANTE);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28080010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28080010 - ??CIDO N??TRICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28080020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28080020 - ??CIDO SULFON??TRICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28091000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28091000 - PENT??XIDO DE DIF??SFORO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28092011;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28092011 - ??CIDO FOSF??RICO C/TEOR FERRO < A 750 PPM;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28092019;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28092019 - OUTROS ??CIDOS FOSF??RICOS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28092020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28092020 - ??CIDO METAFOSF??RICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28092030;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28092030 - ??CIDO PIROFOSF??RICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28092090;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28092090 - OUTROS ??CIDOS POLIFOSF??RICOS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28100010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28100010 - ??CIDO ORTOB??RICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28100090;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28100090 - OUTROS ??XIDOS DE BORO E ??CIDOS B??RICOS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111100;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111100 - FLUORETO DE HIDROG??NIO (??CIDO FLUOR??DRICO);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111200;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111910;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111910 - ??CIDO AMINOSSULF??NICO (??CIDO SULF??MICO);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111920;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111920 - ??CIDO FOSF??NICO (??CIDO FOSFOROSO);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111930;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111930 - ??CIDO PERCL??RICO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111940;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111940 - OUTROS ??CIDOS INORG??NICOS D/FL??OR;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28111950;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111950 - CIANETO DE HIDROG??NIO;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28111990;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28111990 - OUTROS ??CIDOS INORG??NICOS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112100;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112100 - DI??XIDO DE CARBONO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112210;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112210 - DI??XIDO D/SIL??CIO, OBTIDO P/PRECIPITA????O QU??MICA;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112220;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112220 - DI??XIDO DE SIL??CIO,TIPO AEROGEL;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112230;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112230 - GEL DE S??LICA;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112290;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112290 - OUTROS DI??XIDOS DE SIL??CIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112910;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112910 - DI??XIDO DE ENXOFRE;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28112990;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28112990 - OUTS.COMP.OXIG.INORG??NICOS D/ELEM.?? METAL.;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121011;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121011 - TRICLORETO DE F??SFORO;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121012;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121012 - PENTACLORETO DE F??SFORO;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121013;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121013 - MONOCLORETO DE ENXOFRE;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121014;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121014 - DICLORETO DE ENXOFRE;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121015;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121015 - TRICLORETO DE ARS??NIO;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121019;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121019 - OUTROS CLORETOS E OXICLORETOS;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121021;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121021 - OXIDICLORETO DE ENXOFRE(CLORETO DE TIONILA);;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121022;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121022 - OXITRICLORETO D/F??SFORO (CLORETO D/F??SFORO);;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121023;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121023 - OXIDICLORETO D/CARBONO(FOSG??NIO/CLOR.CARB.);;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121029;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28121029 - OUTS OXICLORETOS DOS ELEM. N??O MET??LICOS;;01/01/2016;31/03/2017;KG;QUILOGRAMA;;;
28121100;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121200;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121300;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121400;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121500;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121600;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121700;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121911;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121919;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28121920;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;Novo NCM;0;01/01/2017;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28129000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28129000 - OUTS.HALOGENETOS/OXIAL.D/ELEM.?? MET??LICOS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28131000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28131000 - DISSULFETO DE CARBONO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28139010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28139010 - PENTASSULFETO DE DIF??SFORO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28139090;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28139090 - OUTS.SULFETOS DOS ELEMENTOS ?? MET??LICOS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28141000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28141000 - AMON??ACO ANIDRO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28142000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28142000 - AMON??ACO EM SOLU????O AQUOSA (AM??NIA);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28151100;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28151100 - HIDR??XIDO DE S??DIO, S??LIDO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28151200;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28151200 - HIDR??XIDO DE S??DIO, EM SOLU????O AQUOSA;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28152000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28152000 - HIDR??XIDO DE POT??SSIO (POTASSA C??USTICA);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28153000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28153000 - PER??XIDOS DE S??DIO OU DE POT??SSIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28161010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28161010 - HIDR??XIDO DE MAGN??SIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28161020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28161020 - PER??XIDO DE MAGN??SIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28164010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28164010 - HIDR??XIDO DE B??RIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28164090;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28164090 - OUTS.??XIDOS,HIDR.,PER??XID.,D/ESTR??NCIO/B??RIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28170010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28170010 - ??XIDO DE ZINCO (BRANCO DE ZINCO);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28170020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28170020 - PER??XIDO DE ZINCO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28181010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28181010 - CORIND.ART.BRAN,ABERT.MAL.63 MIC.PROP.SUP.90%;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28181090;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28181090 - OUTROS CORINDONS ARTIFICIAIS;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28182010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28182010 - ALUMINA CALCINADA;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28182090;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28182090 - OUTROS ??XIDOS DE ALUM??NIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28183000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28183000 - HIDR??XIDO DE ALUM??NIO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28191000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28191000 - TRI??XIDO DE CROMO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28199010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28199010 - ??XIDOS DE CROMO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28199020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28199020 - HIDR??XIDOS DE CROMO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28201000;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28201000 - DI??XIDO DE MANGAN??S;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28209010;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28209010 - ??XIDO MANGANOSO;0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28209020;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28209020 - TRI??XIDO D/DIMANGAN??S(SESQUI??XIDO D/MANGAN.);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28209030;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28209030 - TETRA??X.D/TRIMANG.(??XIDO SALINO D/MANGAN??S);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
28209040;PRODUTOS QU??MICOS INORG??NICOS COMPOSTOS INORG??NICOS OU ORG??NICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE IS??TOPOS;28209040 - HEPTA??X.D/DIMANG.(ANIDRIDO PERMANG??NICO);0;01/01/2016;;KG;QUILOGRAMA;08/04/2019;01/11/2018;
